iter	Passed	Remaining
0	1	143
1	2	134
2	3	126
3	4	114
4	5	112
5	7	113
6	8	112
7	9	113
8	11	113
9	12	111
10	13	110
11	14	109
12	16	109
13	17	107
14	18	106
15	19	104
16	21	103
17	22	102
18	23	101
19	25	100
20	26	99
21	27	98
22	29	98
23	30	96
24	31	95
25	33	94
26	34	93
27	35	92
28	37	90
29	38	89
30	39	87
31	41	87
32	42	86
33	43	84
34	45	83
35	46	82
36	47	81
37	48	79
38	50	78
39	51	77
40	52	75
41	53	73
42	54	72
43	56	71
44	57	70
45	58	68
46	59	67
47	61	66
48	62	65
49	63	63
50	65	62
51	66	61
52	67	60
53	69	58
54	69	57
55	71	55
56	72	54
57	73	53
58	75	52
59	76	50
60	77	49
61	79	48
62	80	47
63	81	45
64	83	44
65	84	43
66	85	42
67	87	41
68	88	39
69	89	38
70	90	37
71	92	35
72	93	34
73	94	33
74	96	32
75	97	30
76	98	29
77	99	28
78	101	26
79	102	25
80	103	24
81	104	22
82	105	21
83	106	20
84	108	19
85	109	17
86	110	16
87	112	15
88	113	14
89	114	12
90	116	11
91	117	10
92	118	8
93	119	7
94	120	6
95	121	5
96	122	3
97	123	2
98	124	1
99	125	0
