iter	Passed	Remaining
0	262	262617
1	265	132518
2	269	89664
3	275	68602
4	278	55444
5	362	60100
6	369	52360
7	373	46281
8	379	41789
9	395	39123
10	406	36503
11	408	33647
12	413	31399
13	422	29754
14	425	27973
15	439	27057
16	448	25919
17	469	25624
18	485	25044
19	487	23895
20	497	23184
21	501	22292
22	508	21593
23	514	20942
24	520	20301
25	526	19741
26	530	19130
27	533	18520
28	537	17988
29	545	17646
30	551	17242
31	557	16869
32	561	16439
33	592	16829
34	599	16523
35	602	16131
36	608	15824
37	613	15523
38	617	15218
39	620	14889
40	670	15688
41	679	15490
42	687	15302
43	693	15057
44	705	14981
45	709	14707
46	716	14522
47	721	14306
48	726	14096
49	752	14290
50	756	14079
51	776	14147
52	778	13914
53	784	13739
54	786	13510
55	788	13298
56	791	13089
57	793	12892
58	796	12702
59	798	12514
60	802	12350
61	804	12176
62	807	12005
63	819	11979
64	821	11817
65	830	11752
66	833	11601
67	938	12869
68	942	12717
69	945	12562
70	1012	13245
71	1047	13499
72	1052	13365
73	1056	13220
74	1059	13064
75	1062	12917
76	1069	12823
77	1072	12676
78	1075	12532
79	1080	12429
80	1083	12290
81	1085	12156
82	1086	12009
83	1092	11909
84	1098	11821
85	1100	11701
86	1103	11580
87	1106	11464
88	1108	11345
89	1111	11243
90	1114	11127
91	1116	11020
92	1118	10908
93	1120	10802
94	1122	10696
95	1133	10671
96	1135	10566
97	1137	10465
98	1145	10424
99	1148	10333
100	1149	10235
101	1152	10144
102	1155	10064
103	1159	9991
104	1161	9901
105	1163	9814
106	1165	9727
107	1167	9641
108	1171	9574
109	1173	9497
110	1175	9418
111	1177	9339
112	1179	9259
113	1181	9180
114	1183	9107
115	1187	9048
116	1189	8977
117	1192	8910
118	1194	8842
119	1195	8770
120	1201	8725
121	1204	8666
122	1207	8606
123	1209	8543
124	1211	8477
125	1216	8435
126	1219	8382
127	1221	8320
128	1223	8258
129	1225	8199
130	1228	8146
131	1231	8095
132	1233	8038
133	1237	7998
134	1240	7946
135	1243	7897
136	1245	7843
137	1246	7788
138	1248	7734
139	1250	7681
140	1252	7632
141	1255	7583
142	1257	7536
143	1259	7486
144	1261	7437
145	1263	7391
146	1265	7343
147	1276	7347
148	1278	7301
149	1280	7257
150	1285	7228
151	1289	7195
152	1291	7151
153	1293	7106
154	1295	7061
155	1297	7020
156	1303	6999
157	1306	6963
158	1308	6922
159	1310	6880
160	1316	6860
161	1319	6824
162	1321	6785
163	1323	6746
164	1325	6709
165	1330	6684
166	1334	6658
167	1336	6620
168	1338	6582
169	1345	6571
170	1348	6537
171	1350	6503
172	1352	6466
173	1356	6437
174	1361	6418
175	1363	6384
176	1365	6349
177	1367	6314
178	1369	6279
179	1374	6262
180	1377	6233
181	1381	6208
182	1383	6175
183	1392	6176
184	1395	6145
185	1397	6117
186	1401	6091
187	1407	6078
188	1409	6047
189	1411	6018
190	1414	5991
191	1420	5976
192	1422	5946
193	1427	5932
194	1431	5909
195	1434	5882
196	1436	5853
197	1438	5825
198	1443	5810
199	1445	5783
200	1447	5755
201	1449	5727
202	1451	5699
203	1453	5671
204	1457	5651
205	1460	5627
206	1462	5603
207	1465	5579
208	1468	5556
209	1471	5537
210	1475	5516
211	1477	5491
212	1479	5466
213	1481	5441
214	1484	5421
215	1492	5418
216	1495	5394
217	1496	5368
218	1508	5379
219	1510	5355
220	1513	5333
221	1517	5317
222	1520	5297
223	1522	5275
224	1525	5254
225	1527	5231
226	1537	5234
227	1539	5213
228	1541	5191
229	1548	5184
230	1552	5167
231	1554	5147
232	1558	5130
233	1562	5115
234	1565	5095
235	1567	5072
236	1578	5081
237	1580	5060
238	1582	5039
239	1589	5033
240	1591	5012
241	1594	4993
242	1596	4972
243	1598	4951
244	1604	4944
245	1609	4934
246	1611	4913
247	1614	4895
248	1623	4896
249	1625	4876
250	1627	4856
251	1630	4838
252	1637	4834
253	1639	4815
254	1641	4796
255	1644	4778
256	1648	4766
257	1653	4755
258	1655	4737
259	1657	4718
260	1663	4709
261	1667	4696
262	1670	4680
263	1672	4661
264	1680	4660
265	1683	4646
266	1686	4629
267	1688	4611
268	1697	4613
269	1700	4598
270	1702	4580
271	1708	4572
272	1711	4557
273	1713	4540
274	1715	4522
275	1717	4504
276	1726	4505
277	1728	4490
278	1730	4472
279	1733	4457
280	1738	4447
281	1740	4432
282	1743	4418
283	1745	4400
284	1747	4383
285	1755	4382
286	1758	4367
287	1759	4350
288	1761	4334
289	1766	4324
290	1769	4311
291	1771	4294
292	1773	4278
293	1774	4262
294	1776	4245
295	1779	4232
296	1785	4225
297	1787	4210
298	1789	4195
299	1792	4182
300	1800	4180
301	1802	4165
302	1804	4150
303	1806	4135
304	1812	4129
305	1814	4114
306	1816	4099
307	1818	4084
